,dateRep,day,month,year,cases,deaths,geoId,continentExp,countryterritoryCode,popData2018,countriesAndTerritories
263,09/04/2020,9,4,2020,19,1,AD,Europe,AND,77006.0,Andorra
264,08/04/2020,8,4,2020,19,1,AD,Europe,AND,77006.0,Andorra
265,07/04/2020,7,4,2020,25,3,AD,Europe,AND,77006.0,Andorra
266,06/04/2020,6,4,2020,35,1,AD,Europe,AND,77006.0,Andorra
267,05/04/2020,5,4,2020,27,1,AD,Europe,AND,77006.0,Andorra
268,04/04/2020,4,4,2020,11,1,AD,Europe,AND,77006.0,Andorra
269,03/04/2020,3,4,2020,38,1,AD,Europe,AND,77006.0,Andorra
270,02/04/2020,2,4,2020,14,2,AD,Europe,AND,77006.0,Andorra
271,01/04/2020,1,4,2020,6,4,AD,Europe,AND,77006.0,Andorra
272,31/03/2020,31,3,2020,36,2,AD,Europe,AND,77006.0,Andorra
273,30/03/2020,30,3,2020,26,2,AD,Europe,AND,77006.0,Andorra
274,29/03/2020,29,3,2020,41,1,AD,Europe,AND,77006.0,Andorra
275,28/03/2020,28,3,2020,43,0,AD,Europe,AND,77006.0,Andorra
276,27/03/2020,27,3,2020,36,3,AD,Europe,AND,77006.0,Andorra
277,26/03/2020,26,3,2020,24,0,AD,Europe,AND,77006.0,Andorra
278,25/03/2020,25,3,2020,31,0,AD,Europe,AND,77006.0,Andorra
279,24/03/2020,24,3,2020,20,0,AD,Europe,AND,77006.0,Andorra
280,23/03/2020,23,3,2020,25,0,AD,Europe,AND,77006.0,Andorra
281,22/03/2020,22,3,2020,13,0,AD,Europe,AND,77006.0,Andorra
282,21/03/2020,21,3,2020,0,0,AD,Europe,AND,77006.0,Andorra
283,20/03/2020,20,3,2020,22,0,AD,Europe,AND,77006.0,Andorra
284,19/03/2020,19,3,2020,39,0,AD,Europe,AND,77006.0,Andorra
285,18/03/2020,18,3,2020,0,0,AD,Europe,AND,77006.0,Andorra
286,17/03/2020,17,3,2020,9,0,AD,Europe,AND,77006.0,Andorra
287,16/03/2020,16,3,2020,3,0,AD,Europe,AND,77006.0,Andorra
288,14/03/2020,14,3,2020,1,0,AD,Europe,AND,77006.0,Andorra
289,03/03/2020,3,3,2020,1,0,AD,Europe,AND,77006.0,Andorra
290,20/04/2020,20,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
291,19/04/2020,19,4,2020,5,0,AO,Africa,AGO,30809762.0,Angola
292,18/04/2020,18,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
293,17/04/2020,17,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
294,16/04/2020,16,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
295,15/04/2020,15,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
296,14/04/2020,14,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
297,13/04/2020,13,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
298,12/04/2020,12,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
299,11/04/2020,11,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
300,10/04/2020,10,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
301,09/04/2020,9,4,2020,2,0,AO,Africa,AGO,30809762.0,Angola
302,08/04/2020,8,4,2020,1,0,AO,Africa,AGO,30809762.0,Angola
303,07/04/2020,7,4,2020,2,0,AO,Africa,AGO,30809762.0,Angola
304,06/04/2020,6,4,2020,4,0,AO,Africa,AGO,30809762.0,Angola
305,05/04/2020,5,4,2020,2,0,AO,Africa,AGO,30809762.0,Angola
306,04/04/2020,4,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
307,03/04/2020,3,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
308,02/04/2020,2,4,2020,1,0,AO,Africa,AGO,30809762.0,Angola
309,01/04/2020,1,4,2020,0,0,AO,Africa,AGO,30809762.0,Angola
310,31/03/2020,31,3,2020,0,0,AO,Africa,AGO,30809762.0,Angola
311,30/03/2020,30,3,2020,3,2,AO,Africa,AGO,30809762.0,Angola
312,29/03/2020,29,3,2020,0,0,AO,Africa,AGO,30809762.0,Angola
313,28/03/2020,28,3,2020,1,0,AO,Africa,AGO,30809762.0,Angola
314,27/03/2020,27,3,2020,1,0,AO,Africa,AGO,30809762.0,Angola
315,26/03/2020,26,3,2020,0,0,AO,Africa,AGO,30809762.0,Angola
316,25/03/2020,25,3,2020,0,0,AO,Africa,AGO,30809762.0,Angola
317,24/03/2020,24,3,2020,0,0,AO,Africa,AGO,30809762.0,Angola
318,23/03/2020,23,3,2020,0,0,AO,Africa,AGO,30809762.0,Angola
319,22/03/2020,22,3,2020,2,0,AO,Africa,AGO,30809762.0,Angola
320,20/04/2020,20,4,2020,0,0,AI,America,,,Anguilla
321,19/04/2020,19,4,2020,0,0,AI,America,,,Anguilla
322,18/04/2020,18,4,2020,0,0,AI,America,,,Anguilla
323,17/04/2020,17,4,2020,0,0,AI,America,,,Anguilla
