,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
224,30/01/2020,30,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
225,29/01/2020,29,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
226,28/01/2020,28,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
227,27/01/2020,27,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
228,26/01/2020,26,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
229,25/01/2020,25,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
230,24/01/2020,24,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
231,23/01/2020,23,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
232,22/01/2020,22,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
233,21/01/2020,21,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
234,20/01/2020,20,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
235,19/01/2020,19,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
236,18/01/2020,18,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
237,17/01/2020,17,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
238,16/01/2020,16,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
239,15/01/2020,15,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
240,14/01/2020,14,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
241,13/01/2020,13,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
242,12/01/2020,12,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
243,11/01/2020,11,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
244,10/01/2020,10,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
245,09/01/2020,9,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
246,08/01/2020,8,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
247,07/01/2020,7,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
248,06/01/2020,6,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
249,05/01/2020,5,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
250,04/01/2020,4,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
251,03/01/2020,3,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
252,02/01/2020,2,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
253,01/01/2020,1,1,2020,0,0,Algeria,DZ,DZA,42228429.0,Africa
254,31/12/2019,31,12,2019,0,0,Algeria,DZ,DZA,42228429.0,Africa
255,21/04/2020,21,4,2020,4,0,Andorra,AD,AND,77006.0,Europe
256,20/04/2020,20,4,2020,9,1,Andorra,AD,AND,77006.0,Europe
257,19/04/2020,19,4,2020,8,0,Andorra,AD,AND,77006.0,Europe
258,18/04/2020,18,4,2020,14,2,Andorra,AD,AND,77006.0,Europe
259,17/04/2020,17,4,2020,9,0,Andorra,AD,AND,77006.0,Europe
260,16/04/2020,16,4,2020,14,2,Andorra,AD,AND,77006.0,Europe
261,15/04/2020,15,4,2020,13,2,Andorra,AD,AND,77006.0,Europe
262,14/04/2020,14,4,2020,8,0,Andorra,AD,AND,77006.0,Europe
263,13/04/2020,13,4,2020,16,1,Andorra,AD,AND,77006.0,Europe
264,12/04/2020,12,4,2020,21,2,Andorra,AD,AND,77006.0,Europe
265,11/04/2020,11,4,2020,18,1,Andorra,AD,AND,77006.0,Europe
266,10/04/2020,10,4,2020,19,2,Andorra,AD,AND,77006.0,Europe
267,09/04/2020,9,4,2020,19,1,Andorra,AD,AND,77006.0,Europe
268,08/04/2020,8,4,2020,19,1,Andorra,AD,AND,77006.0,Europe
269,07/04/2020,7,4,2020,25,3,Andorra,AD,AND,77006.0,Europe
270,06/04/2020,6,4,2020,35,1,Andorra,AD,AND,77006.0,Europe
271,05/04/2020,5,4,2020,27,1,Andorra,AD,AND,77006.0,Europe
272,04/04/2020,4,4,2020,11,1,Andorra,AD,AND,77006.0,Europe
273,03/04/2020,3,4,2020,38,1,Andorra,AD,AND,77006.0,Europe
274,02/04/2020,2,4,2020,14,2,Andorra,AD,AND,77006.0,Europe
275,01/04/2020,1,4,2020,6,4,Andorra,AD,AND,77006.0,Europe
276,31/03/2020,31,3,2020,36,2,Andorra,AD,AND,77006.0,Europe
277,30/03/2020,30,3,2020,26,2,Andorra,AD,AND,77006.0,Europe
278,29/03/2020,29,3,2020,41,1,Andorra,AD,AND,77006.0,Europe
279,28/03/2020,28,3,2020,43,0,Andorra,AD,AND,77006.0,Europe
280,27/03/2020,27,3,2020,36,3,Andorra,AD,AND,77006.0,Europe
281,26/03/2020,26,3,2020,24,0,Andorra,AD,AND,77006.0,Europe
282,25/03/2020,25,3,2020,31,0,Andorra,AD,AND,77006.0,Europe
283,24/03/2020,24,3,2020,20,0,Andorra,AD,AND,77006.0,Europe
284,23/03/2020,23,3,2020,25,0,Andorra,AD,AND,77006.0,Europe
285,22/03/2020,22,3,2020,13,0,Andorra,AD,AND,77006.0,Europe
286,21/03/2020,21,3,2020,0,0,Andorra,AD,AND,77006.0,Europe
287,20/03/2020,20,3,2020,22,0,Andorra,AD,AND,77006.0,Europe
288,19/03/2020,19,3,2020,39,0,Andorra,AD,AND,77006.0,Europe
289,18/03/2020,18,3,2020,0,0,Andorra,AD,AND,77006.0,Europe
290,17/03/2020,17,3,2020,9,0,Andorra,AD,AND,77006.0,Europe
291,16/03/2020,16,3,2020,3,0,Andorra,AD,AND,77006.0,Europe
292,14/03/2020,14,3,2020,1,0,Andorra,AD,AND,77006.0,Europe
293,03/03/2020,3,3,2020,1,0,Andorra,AD,AND,77006.0,Europe
294,21/04/2020,21,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
295,20/04/2020,20,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
296,19/04/2020,19,4,2020,5,0,Angola,AO,AGO,30809762.0,Africa
297,18/04/2020,18,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
298,17/04/2020,17,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
299,16/04/2020,16,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
300,15/04/2020,15,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
301,14/04/2020,14,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
302,13/04/2020,13,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
303,12/04/2020,12,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
304,11/04/2020,11,4,2020,0,0,Angola,AO,AGO,30809762.0,Africa
