,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
322,08/04/2020,8,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
323,07/04/2020,7,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
324,06/04/2020,6,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
325,05/04/2020,5,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
326,04/04/2020,4,4,2020,6,0,Antigua_and_Barbuda,AG,ATG,96286.0
327,03/04/2020,3,4,2020,2,0,Antigua_and_Barbuda,AG,ATG,96286.0
328,02/04/2020,2,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
329,01/04/2020,1,4,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
330,31/03/2020,31,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
331,30/03/2020,30,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
332,29/03/2020,29,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
333,28/03/2020,28,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
334,27/03/2020,27,3,2020,4,0,Antigua_and_Barbuda,AG,ATG,96286.0
335,26/03/2020,26,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
336,25/03/2020,25,3,2020,2,0,Antigua_and_Barbuda,AG,ATG,96286.0
337,24/03/2020,24,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
338,23/03/2020,23,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
339,22/03/2020,22,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
340,21/03/2020,21,3,2020,0,0,Antigua_and_Barbuda,AG,ATG,96286.0
341,15/03/2020,15,3,2020,1,0,Antigua_and_Barbuda,AG,ATG,96286.0
342,15/04/2020,15,4,2020,160,7,Argentina,AR,ARG,44494502.0
343,14/04/2020,14,4,2020,69,3,Argentina,AR,ARG,44494502.0
344,13/04/2020,13,4,2020,66,6,Argentina,AR,ARG,44494502.0
345,12/04/2020,12,4,2020,162,7,Argentina,AR,ARG,44494502.0
346,11/04/2020,11,4,2020,81,3,Argentina,AR,ARG,44494502.0
347,10/04/2020,10,4,2020,99,14,Argentina,AR,ARG,44494502.0
348,09/04/2020,9,4,2020,80,5,Argentina,AR,ARG,44494502.0
349,08/04/2020,8,4,2020,87,7,Argentina,AR,ARG,44494502.0
350,07/04/2020,7,4,2020,74,7,Argentina,AR,ARG,44494502.0
351,06/04/2020,6,4,2020,103,3,Argentina,AR,ARG,44494502.0
352,05/04/2020,5,4,2020,186,6,Argentina,AR,ARG,44494502.0
353,04/04/2020,4,4,2020,132,3,Argentina,AR,ARG,44494502.0
354,03/04/2020,3,4,2020,0,3,Argentina,AR,ARG,44494502.0
355,02/04/2020,2,4,2020,167,7,Argentina,AR,ARG,44494502.0
